id	name	group	weak_arch	weak_elem	damage_assumption	healer_needed	want_buffs	want_debuffs	defensive_buffs	defensive_debuffs	notes
enemy-ifrit	Ifrit	Enemy Stats (generated)	hybrid	ice	conservative	TRUE	patkUp,matkUp,elemDmgUp:ice,enliven,exploitWeakness,elemDmgBonus:ice,elemWeaponBoost:ice	pdefDown,mdefDown,elemResistDown:ice,enfeeble	pdefUp	patkDown,matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 100; HP 128,174,760; PATK 24,000; MATK 24,000; PDEF 300; MDEF 300; Type: Summon / Humanoid / Terrestrial. Weakness: Ice 100%; resistances: Fire 100%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-leviathan	Leviathan	Enemy Stats (generated)	phys	lightning	conservative	TRUE	patkUp,elemDmgUp:lightning,enliven,exploitWeakness,physDmgBonus,elemDmgBonus:lightning,physWeaponBoost,elemWeaponBoost:lightning	pdefDown,elemResistDown:lightning,enfeeble,singleTgtPhysDmgRcvdUp	pdefUp	patkDown,matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 130; HP 127,218,700; PATK 11,502; MATK 11,502; PDEF 300; MDEF 900; Type: Summon. Weakness: Lightning 150%; resistances: Water 100%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-ramuh	Ramuh	Enemy Stats (generated)	phys	water	conservative	TRUE	patkUp,elemDmgUp:water,enliven,exploitWeakness,physDmgBonus,elemDmgBonus:water,physWeaponBoost,elemWeaponBoost:water	pdefDown,elemResistDown:water,enfeeble,singleTgtPhysDmgRcvdUp	mdefUp	matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 100; HP 111,898,600; PATK 6,000; MATK 24,000; PDEF 200; MDEF 600; Type: Summon / Humanoid / Aerial. Weakness: Water 200%; resistances: Lightning 100%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-spirit-demon-masamune	Spirit Demon Masamune	Enemy Stats (generated)	hybrid	ice	conservative	TRUE	patkUp,matkUp,elemDmgUp:ice,enliven,exploitWeakness,elemDmgBonus:ice,elemWeaponBoost:ice	pdefDown,mdefDown,elemResistDown:ice,enfeeble	pdefUp	patkDown	MeowDB stat-derived default (toughest listed encounter): Lv 130; HP 99,957,550; PATK 11,502; MATK 2,875; PDEF 100; MDEF 100; Type: Humanoid / Terrestrial. Weakness: Ice 100%; resistances: Water 100%; Fire 80%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-scorpion-sentinel	Scorpion Sentinel	Enemy Stats (generated)	hybrid	ice	conservative	TRUE	patkUp,matkUp,elemDmgUp:ice,enliven,exploitWeakness,elemDmgBonus:ice,elemWeaponBoost:ice	pdefDown,mdefDown,elemResistDown:ice,enfeeble	pdefUp	patkDown,matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 130; HP 92,687,910; PATK 11,502; MATK 11,502; PDEF 300; MDEF 300; Type: Machine / Quadruped / Terrestrial. Weakness: Ice 100%; resistances: Lightning 100%; Fire 80%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-baloir-queen	Baloir Queen	Enemy Stats (generated)	hybrid	earth	conservative	TRUE	patkUp,matkUp,elemDmgUp:earth,enliven,exploitWeakness,elemDmgBonus:earth,elemWeaponBoost:earth	pdefDown,mdefDown,elemResistDown:earth,enfeeble	pdefUp	patkDown,matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 60; HP 80,000,000; PATK 70,000; MATK 70,000; PDEF 100; MDEF 100; Type: Quadruped / Terrestrial. Weakness: Earth 150%; resistances: Water 80%; Wind 80%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-kakuriyo-nushi	Kakuriyo-nushi	Enemy Stats (generated)	hybrid	earth	conservative	TRUE	patkUp,matkUp,elemDmgUp:earth,enliven,exploitWeakness,elemDmgBonus:earth,elemWeaponBoost:earth	pdefDown,mdefDown,elemResistDown:earth,enfeeble	pdefUp	patkDown	MeowDB stat-derived default (toughest listed encounter): Lv 25; HP 78,000,000; PATK 12,500; MATK 3,125; PDEF 600; MDEF 600; Type: Summon / Humanoid / Terrestrial. Weakness: Earth 100%; resistances: Wind 100%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-shiva	Shiva	Enemy Stats (generated)	mag	fire	conservative	TRUE	matkUp,elemDmgUp:fire,enliven,exploitWeakness,magDmgBonus,elemDmgBonus:fire,magWeaponBoost,elemWeaponBoost:fire	mdefDown,elemResistDown:fire,enfeeble,singleTgtMagDmgRcvdUp	mdefUp	matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 90; HP 40,342,400; PATK 12,652; MATK 50,608; PDEF 300; MDEF 100; Type: Summon / Humanoid / Aerial. Weakness: Fire 200%; resistances: Ice 100%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-titan	Titan	Enemy Stats (generated)	mag	wind	conservative	TRUE	matkUp,elemDmgUp:wind,enliven,exploitWeakness,magDmgBonus,elemDmgBonus:wind,magWeaponBoost,elemWeaponBoost:wind	mdefDown,elemResistDown:wind,enfeeble,singleTgtMagDmgRcvdUp	pdefUp	patkDown	MeowDB stat-derived default (toughest listed encounter): Lv 100; HP 31,472,001; PATK 21,000; MATK 5,250; PDEF 800; MDEF 500; Type: Summon / Humanoid / Terrestrial. Weakness: Wind 100%; resistances: Earth 100%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-airbuster	Airbuster	Enemy Stats (generated)	hybrid	lightning	conservative	TRUE	patkUp,matkUp,elemDmgUp:lightning,enliven,exploitWeakness,elemDmgBonus:lightning,elemWeaponBoost:lightning	pdefDown,mdefDown,elemResistDown:lightning,enfeeble	pdefUp	patkDown,matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 120; HP 28,106,700; PATK 10,792; MATK 10,792; PDEF 200; MDEF 200; Type: Machine / Aerial. Weakness: Lightning 100%; resistances: Fire 80%; Earth 100%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-baloir	Baloir	Enemy Stats (generated)	hybrid	ice	conservative	TRUE	patkUp,matkUp,elemDmgUp:ice,enliven,exploitWeakness,elemDmgBonus:ice,elemWeaponBoost:ice	pdefDown,mdefDown,elemResistDown:ice,enfeeble	pdefUp	patkDown	MeowDB stat-derived default (toughest listed encounter): Lv 130; HP 62,731,483; PATK 15,244; MATK 7,622; PDEF 100; MDEF 100; Type: Quadruped / Terrestrial. Weakness: Ice 150%; resistances: Lightning 150%; Earth 150%; Water/Wind 80%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-fiery-condor	Fiery Condor	Enemy Stats (generated)	phys	ice	conservative	TRUE	patkUp,elemDmgUp:ice,enliven,exploitWeakness,physDmgBonus,elemDmgBonus:ice,physWeaponBoost,elemWeaponBoost:ice	pdefDown,elemResistDown:ice,enfeeble,singleTgtPhysDmgRcvdUp	pdefUp	patkDown	MeowDB stat-derived default (toughest listed encounter): Lv 130; HP 9,087,050; PATK 11,502; MATK 2,875; PDEF 200; MDEF 250; Type: Winged / Aerial. Weakness: Ice 150%; resistances: Wind 100%; Fire 80%; Earth 100%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-bahamut-alba	Bahamut Alba	Enemy Stats (generated)	hybrid	nonelem	conservative	TRUE	patkUp,matkUp,enliven	pdefDown,mdefDown,enfeeble	pdefUp	patkDown,matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 90; HP 8,715,630; PATK 39,565; MATK 39,565; PDEF 100; MDEF 100; Type: Summon / Winged / Aerial. No elemental weakness listed; resistances: All six elements 80%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-iron-giant	Iron Giant	Enemy Stats (generated)	phys	water	conservative	TRUE	patkUp,elemDmgUp:water,enliven,exploitWeakness,physDmgBonus,elemDmgBonus:water,physWeaponBoost,elemWeaponBoost:water	pdefDown,elemResistDown:water,enfeeble,singleTgtPhysDmgRcvdUp	pdefUp	patkDown	MeowDB stat-derived default (toughest listed encounter): Lv 115; HP 4,827,200; PATK 10,470; MATK 2,617; PDEF 100; MDEF 300; Type: Humanoid / Terrestrial. Weakness: Water 200%; resistances: None listed. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-red-dragon	Red Dragon	Enemy Stats (generated)	mag	ice	conservative	TRUE	matkUp,elemDmgUp:ice,enliven,exploitWeakness,magDmgBonus,elemDmgBonus:ice,magWeaponBoost,elemWeaponBoost:ice	mdefDown,elemResistDown:ice,enfeeble,singleTgtMagDmgRcvdUp	mdefUp	matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 100; HP 4,567,500; PATK 11,002; MATK 14,670; PDEF 150; MDEF 100; Type: Winged / Terrestrial. Weakness: Ice 200%; resistances: Fire 80%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-spark	Spark	Enemy Stats (generated)	hybrid	water	conservative	TRUE	patkUp,matkUp,elemDmgUp:water,enliven,exploitWeakness,elemDmgBonus:water,elemWeaponBoost:water	pdefDown,mdefDown,elemResistDown:water,enfeeble	mdefUp	matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 100; HP 4,554,088; PATK 5,250; MATK 21,000; PDEF 100; MDEF 100; Type: Aerial. Weakness: Water 200%; resistances: Lightning 100%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-knight-of-judgment	Knight of Judgment	Enemy Stats (generated)	phys	ice	conservative	TRUE	patkUp,elemDmgUp:ice,enliven,exploitWeakness,physDmgBonus,elemDmgBonus:ice,physWeaponBoost,elemWeaponBoost:ice	pdefDown,elemResistDown:ice,enfeeble,singleTgtPhysDmgRcvdUp	mdefUp	matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 94; HP 1,065,330; PATK 6,489; MATK 14,275; PDEF 100; MDEF 150; Type: Terrestrial. Weakness: Ice 200%; resistances: Water 200%; Lightning 100%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-silver-rathalos	Silver Rathalos	Enemy Stats (generated)	hybrid	lightning	conservative	TRUE	patkUp,matkUp,elemDmgUp:lightning,enliven,exploitWeakness,elemDmgBonus:lightning,elemWeaponBoost:lightning	pdefDown,mdefDown,elemResistDown:lightning,enfeeble	pdefUp	patkDown,matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 80; HP 1,618,665; PATK 11,462; MATK 11,462; PDEF 200; MDEF 200; Type: Winged / Terrestrial. Weakness: Lightning 100%; resistances: Water 100%; Fire 100%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-rathalos	Rathalos	Enemy Stats (generated)	phys	lightning	conservative	TRUE	patkUp,elemDmgUp:lightning,enliven,exploitWeakness,physDmgBonus,elemDmgBonus:lightning,physWeaponBoost,elemWeaponBoost:lightning	pdefDown,elemResistDown:lightning,enfeeble,singleTgtPhysDmgRcvdUp	pdefUp	patkDown,matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 80; HP 1,096,515; PATK 11,462; MATK 11,462; PDEF 100; MDEF 200; Type: Winged / Terrestrial. Weakness: Lightning 100%; resistances: Fire 100%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-blue-dragon	Blue Dragon	Enemy Stats (generated)	phys	fire	conservative	TRUE	patkUp,elemDmgUp:fire,enliven,exploitWeakness,physDmgBonus,elemDmgBonus:fire,physWeaponBoost,elemWeaponBoost:fire	pdefDown,elemResistDown:fire,enfeeble,singleTgtPhysDmgRcvdUp	mdefUp	matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 100; HP 815,625; PATK 11,002; MATK 14,670; PDEF 100; MDEF 150; Type: Winged / Terrestrial. Weakness: Fire 200%; resistances: Ice 80%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-giftuar	Giftuar	Enemy Stats (generated)	phys	ice	conservative	TRUE	patkUp,elemDmgUp:ice,enliven,exploitWeakness,physDmgBonus,elemDmgBonus:ice,physWeaponBoost,elemWeaponBoost:ice	pdefDown,elemResistDown:ice,enfeeble,singleTgtPhysDmgRcvdUp	pdefUp	patkDown	MeowDB stat-derived default (toughest listed encounter): Lv 100; HP 652,500; PATK 14,670; MATK 3,667; PDEF 100; MDEF 300; Type: Terrestrial. Weakness: Ice 200%; resistances: None listed. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-yuffie	Yuffie	Enemy Stats (generated)	phys	fire	conservative	TRUE	patkUp,elemDmgUp:fire,enliven,exploitWeakness,physDmgBonus,elemDmgBonus:fire,physWeaponBoost,elemWeaponBoost:fire	pdefDown,elemResistDown:fire,enfeeble,singleTgtPhysDmgRcvdUp	pdefUp	patkDown,matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 65; HP 594,560; PATK 9,143; MATK 9,143; PDEF 100; MDEF 200; Type: Humanoid / Terrestrial. Weakness: Fire 200%; resistances: None listed. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-inferno-lantern	Inferno Lantern	Enemy Stats (generated)	hybrid	wind	conservative	TRUE	patkUp,matkUp,elemDmgUp:wind,enliven,exploitWeakness,elemDmgBonus:wind,elemWeaponBoost:wind	pdefDown,mdefDown,elemResistDown:wind,enfeeble	mdefUp	matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 97; HP 243,900; PATK 6,906; MATK 13,812; PDEF 100; MDEF 100; Type: Aerial. Weakness: Wind 200%; resistances: Fire 80%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
enemy-phantom-imager	Phantom Imager	Enemy Stats (generated)	phys	ice	conservative	TRUE	patkUp,elemDmgUp:ice,enliven,exploitWeakness,physDmgBonus,elemDmgBonus:ice,physWeaponBoost,elemWeaponBoost:ice	pdefDown,elemResistDown:ice,enfeeble,singleTgtPhysDmgRcvdUp	mdefUp	matkDown	MeowDB stat-derived default (toughest listed encounter): Lv 91; HP 25,080; PATK 6,096; MATK 12,192; PDEF 100; MDEF 150; Type: Aerial. Weakness: Ice 200%; resistances: Water 200%; Lightning 80%. Archetype is inferred from the lower of PDEF/MDEF; healer and defensive recommendation are conservative defaults. Encounter-specific immunities, sigils, Force Gauge, and scripted mechanics require manual curation. Source: https://meowdb.com/db/ff7-ec/enemy-stat
